,input,output
0,"go until jurong point, crazy available only in bugis n great world la e buffet cine there got amore wat",human
1,ok lar joking wif u oni,human
2,free entry in   a wkly comp to win fa cup final tkts  st may   text fa to   to receive entry question std txt rate t c's apply  over 's,spam
3,u dun say so early hor u c already then say,human
4,"nah i don't think he goes to usf, he lives around here though",human
5,"freemsg hey there darling it's been   week's now and no word back i'd like some fun you up for it still tb ok xxx std chgs to send, å£    to rcv",spam
6,even my brother is not like to speak with me they treat me like aids patent,human
7,as per your request 'melle melle oru minnaminunginte nurungu vettam ' has been set as your callertune for all callers press   to copy your friends callertune,human
8,winner as a valued network customer you have been selected to receivea å£  prize reward to claim call   claim code kl  valid   hours only,spam
9,had your mobile   months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on  ,spam
10,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k i've cried enough today",human
11,"six chances to win cash from   to  ,  pounds txt csh  and send to   cost  p day,  days,   tsandcs apply reply hl   info",spam
12,"urgent you have won a   week free membership in our å£ ,  prize jackpot txt the word claim to no   t c www dbuk net lccltd pobox  ldnw a rw ",spam
13,i've been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,human
14,i have a date on sunday with will,human
15,"xxxmobilemovieclub to use your credit, click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl",spam
16,oh k i'm watching here,human
17,eh u remember how   spell his name yes i did he v naughty make until i v wet,human
18,fine if thatåõs the way u feel thatåõs the way its gota b,human
19,"england v macedonia dont miss the goals team news txt ur national team to   eg england to   try wales, scotland  txt ì¼    poboxox w wq  ",spam
20,is that seriously how you spell his name,human
21,iû÷m going to try for   months ha ha only joking,human
22,so ì_ pay first lar then when is da stock comin,human
23,aft i finish my lunch then i go str down lor ard   smth lor u finish ur lunch already,human
24,ffffffffff alright no way i can meet up with you sooner,human
25,just forced myself to eat a slice i'm really not hungry tho this sucks mark is getting worried he knows i'm sick when i turn down pizza lol,human
26,lol your always so convincing,human
27,did you catch the bus are you frying an egg did you make a tea are you eating your mom's left over dinner do you feel my love,human
28,"i'm back amp we're packing the car now, i'll let you know if there's room",human
29,ahhh work i vaguely remember that what does it feel like lol,human
30,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",human
31,yeah he got in at   and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till   but we won't go there not doing too badly cheers you,human
32,k tell me anything about you,human
33,for fear of fainting with the of all that housework you just did quick have a cuppa,human
34,thanks for your subscription to ringtone uk your mobile will be charged å£  month please confirm by replying yes or no if you reply no you will not be charged,spam
35,yup ok i go home look at the timings then i msg ì_ again xuhui going to learn on  nd may too but her lesson is at  am,human
36,"oops, i'll let you know when my roommate's done",human
37,i see the letter b on my car,human
38,anything lor u decide,human
39,hello how's you and how did saturday go i was just texting to see if you'd decided to do anything tomo not that i'm trying to invite myself or anything,human
40,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,human
41,"did i forget to tell you i want you , i need you, i crave you but most of all i love you my sweet arabian steed mmmmmm yummy",human
42,  rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now   for delivery tomorrow,spam
43,who are you seeing,human
44,great i hope you like your man well endowed i am lt gt inches,human
45,no calls messages missed calls,human
46,didn't you get hep b immunisation in nigeria,human
47,"fair enough, anything going on",human
48,"yeah hopefully, if tyler can't do it i could maybe ask around a bit",human
49,u don't know how stubborn i am i didn't even want to go to the hospital i kept telling mark i'm not a weak sucker hospitals are for weak suckers,human
50,what you thinked about me first time you saw me in class,human
51,"a gram usually runs like lt gt , a half eighth is smarter though and gets you almost a whole second gram for lt gt",human
52,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,human
53,"wow i never realized that you were so embarassed by your accomodations i thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"" i'm sorry i didn't and don't have more to give i'm sorry i offered i'm sorry your room was so embarassing """,human
54,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,spam
55,do you know what mallika sherawat did yesterday find out now lt url gt,human
56,"congrats   year special cinema pass for   is yours call   now c suprman v, matrix , starwars , etc all   free bx  ip   we  pm dont miss out",spam
57,"sorry, i'll call later in meeting",human
58,tell where you reached,human
59,yes gauti and sehwag out of odi series,human
60,your gonna have to pick up a   burger for yourself on your way home i can't even move pain is killing me,human
61,ha ha ha good joke girls are situation seekers,human
62,its a part of checking iq,human
63,"sorry my roommates took forever, it ok if i come by now",human
64,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,human
65,"as a valued customer, i am pleased to advise you that following recent review of your mob no you are awarded with a å£  bonus prize, call  ",spam
66,"today is \song dedicated day \"" which song will u dedicate for me send this to all ur valuable frnds but first rply me """,human
67,"urgent ur awarded a complimentary trip to eurodisinc trav, aco entry  or å£  to claim txt dis to       å£    morefrmmob shracomorsglsuplt  , ls   aj",spam
68,"did you hear about the new \divorce barbie\"" it comes with all of ken's stuff """,spam
